Date,Open,High,Low,Close,Adj Close,Volume
2020-10-02,0.000901,0.000932,0.000781,0.000858,0.000858,115883
2020-10-03,0.000858,0.001006,0.000813,0.001006,0.001006,79884
2020-10-04,0.000994,0.001351,0.000945,0.001302,0.001302,255093
2020-10-05,null,null,null,null,null,null
2020-10-06,null,null,null,null,null,null
2020-10-07,null,null,null,null,null,null
2020-10-08,null,null,null,null,null,null
2020-10-09,0.000912,0.000920,0.000694,0.000731,0.000731,147827
2020-10-10,null,null,null,null,null,null
2020-10-11,null,null,null,null,null,null
2020-10-12,0.000630,0.000732,0.000540,0.000646,0.000646,146418
2020-10-13,0.000646,0.000652,0.000552,0.000570,0.000570,121941
2020-10-14,null,null,null,null,null,null
2020-10-15,null,null,null,null,null,null
2020-10-16,null,null,null,null,null,null
2020-10-17,null,null,null,null,null,null
2020-10-18,null,null,null,null,null,null
2020-10-19,null,null,null,null,null,null
2020-10-20,null,null,null,null,null,null
2020-10-21,null,null,null,null,null,null
2020-10-22,null,null,null,null,null,null
2020-10-23,null,null,null,null,null,null
2020-10-24,null,null,null,null,null,null
2020-10-25,null,null,null,null,null,null
2020-10-26,null,null,null,null,null,null
2020-10-27,null,null,null,null,null,null
2020-10-28,0.000317,0.000317,0.000193,0.000258,0.000258,57000
2020-10-29,0.000258,0.000305,0.000245,0.000275,0.000275,12131
2020-10-30,0.000275,0.000319,0.000268,0.000300,0.000300,10239
2020-10-31,0.000300,0.000318,0.000225,0.000276,0.000276,12503
2020-11-01,0.000276,0.000327,0.000265,0.000281,0.000281,8673
2020-11-02,0.000281,0.000319,0.000269,0.000301,0.000301,9729
2020-11-03,0.000301,0.000325,0.000292,0.000308,0.000308,10585
2020-11-04,0.000308,0.000411,0.000308,0.000380,0.000380,20756
2020-11-05,0.000380,0.000435,0.000373,0.000408,0.000408,10678
2020-11-06,0.000408,0.000655,0.000397,0.000445,0.000445,15482
2020-11-07,0.000445,0.000463,0.000371,0.000401,0.000401,21241
2020-11-08,0.000401,0.000417,0.000355,0.000375,0.000375,16967
2020-11-09,0.000375,0.000404,0.000365,0.000392,0.000392,8255
2020-11-10,0.000392,0.000394,0.000345,0.000361,0.000361,7832
2020-11-11,0.000361,0.000375,0.000338,0.000354,0.000354,7547
2020-11-12,0.000354,0.000380,0.000333,0.000346,0.000346,11187
2020-11-13,0.000345,0.000395,0.000336,0.000380,0.000380,12965
2020-11-14,0.000380,0.000384,0.000261,0.000370,0.000370,12053
2020-11-15,0.000370,0.000388,0.000315,0.000325,0.000325,21907
2020-11-16,0.000325,0.000395,0.000319,0.000343,0.000343,19437
2020-11-17,0.000319,0.000356,0.000281,0.000326,0.000326,47415
2020-11-18,0.000326,0.000343,0.000291,0.000318,0.000318,11948
2020-11-19,0.000318,0.000338,0.000287,0.000335,0.000335,8223
2020-11-20,0.000335,0.000338,0.000282,0.000282,0.000282,10132
2020-11-21,0.000282,0.000291,0.000222,0.000229,0.000229,14128
2020-11-22,0.000229,0.000234,0.000201,0.000205,0.000205,9683
2020-11-23,0.000205,0.000270,0.000205,0.000244,0.000244,15611
2020-11-24,0.000244,0.000283,0.000236,0.000278,0.000278,12386
2020-11-25,0.000278,0.000279,0.000246,0.000259,0.000259,14320
2020-11-26,0.000259,0.000277,0.000216,0.000241,0.000241,8991
2020-11-27,0.000241,0.000269,0.000222,0.000261,0.000261,8598
2020-11-28,0.000261,0.000305,0.000251,0.000259,0.000259,17263
2020-11-29,0.000259,0.000275,0.000234,0.000242,0.000242,21430
2020-11-30,0.000242,0.000320,0.000240,0.000290,0.000290,14716
2020-12-01,0.000290,0.000314,0.000263,0.000304,0.000304,12843
2020-12-02,0.000304,0.000325,0.000287,0.000305,0.000305,13324
2020-12-03,0.000305,0.000322,0.000278,0.000301,0.000301,15771
2020-12-04,0.000301,0.000317,0.000283,0.000294,0.000294,7856
2020-12-05,0.000294,0.000294,0.000251,0.000258,0.000258,16316
2020-12-06,0.000258,0.000291,0.000250,0.000279,0.000279,8165
2020-12-07,0.000279,0.000321,0.000267,0.000282,0.000282,15283
2020-12-08,0.000282,0.000293,0.000272,0.000279,0.000279,13965
2020-12-09,0.000279,0.000294,0.000258,0.000283,0.000283,11377
2020-12-10,0.000283,0.000305,0.000265,0.000279,0.000279,9312
2020-12-11,0.000279,0.000285,0.000248,0.000271,0.000271,8393
2020-12-12,0.000271,0.000290,0.000248,0.000258,0.000258,8090
2020-12-13,0.000258,0.000287,0.000247,0.000263,0.000263,10586
2020-12-14,0.000263,0.000279,0.000257,0.000279,0.000279,9006
2020-12-15,0.000279,0.000293,0.000254,0.000268,0.000268,5718
2020-12-16,0.000268,0.000298,0.000243,0.000264,0.000264,8006
2020-12-17,0.000264,0.000283,0.000246,0.000257,0.000257,7485
2020-12-18,0.000257,0.000271,0.000253,0.000271,0.000271,5012
