Date,Open,High,Low,Close,Adj Close,Volume
2010-07-01,3.150000,3.150000,3.150000,3.150000,3.118101,0
2010-07-02,3.250000,3.250000,3.100000,3.100000,3.068607,1700
2010-07-06,2.850000,2.950000,2.700000,2.850000,2.821139,26380
2010-07-07,3.000000,3.300000,3.000000,3.150000,3.118101,10280
2010-07-08,3.150000,3.250000,3.150000,3.150000,3.118101,5740
2010-07-09,3.350000,3.350000,3.350000,3.350000,3.316076,5700
2010-07-12,3.100000,3.200000,3.100000,3.200000,3.167595,2000
2010-07-13,3.200000,3.200000,3.100000,3.100000,3.068607,900
2010-07-14,3.100000,3.100000,3.100000,3.100000,3.068607,0
2010-07-15,2.950000,3.100000,2.950000,3.050000,3.019114,3200
2010-07-16,3.000000,3.050000,3.000000,3.050000,3.019114,3480
2010-07-19,2.900000,2.900000,2.800000,2.850000,2.821139,3200
2010-07-20,2.850000,3.000000,2.850000,3.000000,2.969620,1500
2010-07-21,3.000000,3.000000,3.000000,3.000000,2.969620,0
2010-07-22,3.100000,3.100000,3.100000,3.100000,3.068607,80
2010-07-23,2.950000,3.050000,2.950000,3.050000,3.019114,700
2010-07-26,3.050000,3.050000,2.950000,2.950000,2.920127,560
2010-07-27,2.950000,2.950000,2.950000,2.950000,2.920127,0
2010-07-28,3.050000,3.100000,3.050000,3.100000,3.068607,660
2010-07-29,3.050000,3.050000,3.050000,3.050000,3.019114,300
2010-07-30,3.200000,3.350000,3.200000,3.350000,3.316076,6800
2010-08-02,3.350000,3.350000,3.350000,3.350000,3.316076,0
2010-08-03,3.200000,3.400000,3.100000,3.200000,3.167595,14220
2010-08-04,3.350000,3.350000,3.250000,3.250000,3.217088,27200
2010-08-05,3.300000,3.350000,3.250000,3.350000,3.316076,3500
2010-08-06,3.200000,3.200000,3.200000,3.200000,3.167595,500
2010-08-09,3.200000,3.300000,3.200000,3.300000,3.266582,1800
2010-08-10,3.300000,3.300000,3.150000,3.150000,3.118101,5400
2010-08-11,3.200000,3.200000,3.200000,3.200000,3.167595,800
2010-08-12,3.250000,3.300000,3.150000,3.150000,3.118101,1100
2010-08-13,3.250000,3.250000,3.200000,3.250000,3.217088,2620
2010-08-16,3.200000,3.300000,3.150000,3.250000,3.217088,15780
2010-08-17,3.250000,3.300000,3.200000,3.250000,3.217088,24240
2010-08-18,3.250000,3.300000,3.250000,3.300000,3.266582,5060
2010-08-19,3.250000,3.250000,3.200000,3.200000,3.167595,800
2010-08-20,3.350000,3.350000,3.350000,3.350000,3.316076,200
2010-08-23,3.350000,3.350000,3.250000,3.300000,3.266582,4200
2010-08-24,3.250000,3.250000,3.200000,3.200000,3.167595,4700
